TOTAL CLIENTES;TOTAL ATENDIDOS;DESERTADOS;PROMEDIO INTERMEDIO;PROMEDIO DE SERVICIO;PROMEDIO DE RETRASO;PROMEDIO DE ESPERA
50;17;33;8.7;1.4;8.24;9.64
50;22;28;11.16;1.74;12.78;14.52
50;19;31;9.84;1.64;8.42;10.06
50;15;35;7.8;1.44;6.56;8.0
50;18;32;10.76;1.84;10.84;12.68
50;19;31;10.66;1.74;8.84;10.58
50;16;34;8.44;1.38;8.9;10.28
50;23;27;14.06;1.82;9.96;11.78
50;18;32;9.6;1.38;8.8;10.18
50;19;31;9.98;1.54;12.42;13.96
50;18;32;5.88;1.68;9.18;10.86
50;23;27;16.46;1.78;12.04;13.82
50;15;35;7.02;1.64;6.68;8.32
50;21;29;10.26;1.72;12.12;13.84
50;18;32;7.82;1.56;10.96;12.52
50;17;33;6.92;1.54;9.1;10.64
50;22;28;13.7;1.94;14.04;15.98
50;19;31;11.08;1.46;9.88;11.34
50;21;29;8.6;1.66;9.68;11.34
50;19;31;9.54;1.68;9.64;11.32
50;22;28;13.0;1.74;12.92;14.66
50;20;30;10.12;1.86;9.78;11.64
50;19;31;9.66;1.64;8.36;10.0
50;23;27;11.18;1.68;13.52;15.2
50;20;30;10.7;1.6;8.2;9.8
50;20;30;9.94;1.82;9.84;11.66
50;21;29;12.44;1.78;11.2;12.98
50;21;29;9.48;1.7;11.1;12.8
50;22;28;13.06;1.6;13.28;14.88
50;19;31;8.08;1.62;8.84;10.46
50;22;28;12.26;1.86;12.0;13.86
50;19;31;5.94;1.58;8.8;10.38
50;15;35;5.9;1.4;8.46;9.86
50;22;28;12.78;1.48;13.28;14.76
50;21;29;10.98;1.82;12.68;14.5
50;19;31;10.44;1.54;8.3;9.84
50;17;33;7.18;1.32;5.92;7.24
50;20;30;10.56;1.62;9.12;10.74
50;20;30;10.34;1.68;8.44;10.12
50;19;31;10.5;1.7;11.72;13.42
50;25;25;14.58;2.08;16.64;18.72
50;22;28;9.78;1.68;9.54;11.22
50;18;32;9.2;1.48;9.26;10.74
50;19;31;8.14;1.66;8.84;10.5
50;19;31;7.16;1.76;6.64;8.4
50;17;33;6.84;1.5;6.76;8.26
50;21;29;10.52;1.66;9.88;11.54
50;20;30;7.38;1.38;9.54;10.92
50;21;29;9.76;1.78;10.66;12.44
50;20;30;14.3;1.72;10.5;12.22
50;21;29;10.62;1.76;10.08;11.84
50;20;30;6.74;1.52;9.7;11.22
50;22;28;13.14;1.86;9.38;11.24
50;18;32;8.62;1.5;9.5;11.0
50;17;33;10.24;1.52;9.14;10.66
50;21;29;10.42;1.6;8.62;10.22
50;15;35;8.52;1.42;7.94;9.36
50;17;33;10.38;1.48;7.48;8.96
50;21;29;9.92;1.74;12.28;14.02
50;20;30;9.2;1.62;9.18;10.8
50;22;28;11.02;1.88;13.88;15.76
50;21;29;11.78;1.68;11.0;12.68
50;19;31;10.72;1.62;6.96;8.58
50;18;32;9.22;1.5;9.42;10.92
50;21;29;12.14;1.66;8.82;10.48
50;17;33;7.56;1.52;8.48;10.0
50;17;33;10.58;1.44;7.68;9.12
50;17;33;8.54;1.4;7.16;8.56
50;16;34;7.82;1.36;7.04;8.4
50;19;31;8.92;1.6;8.66;10.26
50;19;31;9.08;1.64;8.0;9.64
50;21;29;7.26;1.68;9.06;10.74
50;18;32;8.24;1.5;5.98;7.48
50;21;29;11.38;1.78;9.28;11.06
50;21;29;11.08;1.72;9.92;11.64
50;20;30;9.28;1.46;11.74;13.2
50;19;31;8.74;1.6;11.0;12.6
50;22;28;13.06;1.84;14.12;15.96
50;16;34;7.38;1.5;6.96;8.46
50;20;30;11.04;1.7;9.4;11.1
50;19;31;8.86;1.56;11.68;13.24
50;17;33;6.86;1.56;7.54;9.1
50;19;31;8.26;1.46;10.24;11.7
50;19;31;7.12;1.6;8.46;10.06
50;24;26;14.94;1.9;11.62;13.52
50;17;33;7.6;1.54;7.56;9.1
50;19;31;11.0;1.72;9.72;11.44
50;23;27;13.82;1.88;13.26;15.14
50;18;32;9.78;1.52;9.76;11.28
50;22;28;14.52;1.84;14.88;16.72
50;19;31;7.52;1.58;6.76;8.34
50;18;32;7.14;1.44;9.22;10.66
50;17;33;6.8;1.54;7.08;8.62
50;18;32;9.92;1.5;8.36;9.86
50;17;33;7.52;1.42;7.54;8.96
50;19;31;10.34;1.94;10.58;12.52
50;17;33;8.28;1.62;7.46;9.08
50;17;33;6.94;1.36;9.0;10.36
50;19;31;9.58;1.46;8.32;9.78
50;15;35;5.76;1.38;6.54;7.92
