TOTAL CLIENTES;TOTAL ATENDIDOS;DESERTADOS;PROMEDIO INTERMEDIO;PROMEDIO DE SERVICIO;PROMEDIO DE RETRASO;PROMEDIO DE ESPERA
50;17;33;2.74;1.46;12.8;14.26
50;19;31;2.58;1.34;12.64;13.98
50;21;29;2.62;1.84;14.26;16.1
50;24;26;2.74;1.72;18.28;20.0
50;15;35;1.52;1.18;5.16;6.34
50;20;30;2.64;1.64;14.96;16.6
50;19;31;2.28;1.42;12.6;14.02
50;21;29;2.9;1.64;16.06;17.7
50;19;31;3.32;1.52;13.84;15.36
50;20;30;2.9;1.6;15.88;17.48
50;19;31;2.66;1.74;12.36;14.1
50;22;28;2.72;1.64;15.86;17.5
50;19;31;3.42;1.72;15.24;16.96
50;21;29;2.92;1.78;13.8;15.58
50;21;29;2.6;1.56;13.96;15.52
50;21;29;2.76;1.74;16.26;18.0
50;19;31;2.34;1.42;13.74;15.16
50;19;31;2.7;1.56;13.96;15.52
50;21;29;2.64;1.72;20.04;21.76
50;19;31;2.22;1.56;11.46;13.02
50;19;31;2.8;1.66;12.18;13.84
50;19;31;3.52;1.7;14.42;16.12
50;20;30;3.92;1.58;19.14;20.72
50;20;30;3.06;1.58;15.22;16.8
50;20;30;2.34;1.62;13.14;14.76
50;25;25;3.28;1.86;20.46;22.32
50;19;31;2.86;1.68;14.82;16.5
50;21;29;3.52;1.68;17.38;19.06
50;21;29;2.9;1.62;16.46;18.08
50;22;28;3.7;1.72;16.74;18.46
50;17;33;1.88;1.46;11.18;12.64
50;18;32;2.8;1.3;11.62;12.92
50;19;31;2.36;1.7;13.76;15.46
50;17;33;3.0;1.58;11.6;13.18
50;21;29;3.02;1.48;15.48;16.96
50;19;31;2.54;1.62;11.44;13.06
50;21;29;3.34;1.68;15.22;16.9
50;20;30;2.14;1.56;15.24;16.8
50;22;28;2.96;1.56;13.9;15.46
50;21;29;3.1;1.62;17.22;18.84
50;21;29;2.88;1.62;17.16;18.78
50;22;28;3.02;1.68;16.14;17.82
50;18;32;2.82;1.48;10.0;11.48
50;19;31;2.52;1.5;11.68;13.18
50;23;27;3.42;1.9;19.66;21.56
50;25;25;2.88;1.88;18.86;20.74
50;19;31;2.76;1.48;14.54;16.02
50;22;28;2.98;1.66;15.18;16.84
50;21;29;2.68;1.56;17.5;19.06
50;15;35;1.44;1.2;6.98;8.18
50;20;30;3.38;1.48;17.26;18.74
50;17;33;1.8;1.4;7.48;8.88
50;19;31;2.84;1.64;15.08;16.72
50;21;29;2.82;1.64;17.04;18.68
50;22;28;3.42;1.7;18.38;20.08
50;19;31;2.92;1.56;11.72;13.28
50;19;31;2.8;1.62;14.92;16.54
50;23;27;2.32;1.68;17.42;19.1
50;22;28;2.52;1.64;15.92;17.56
50;20;30;2.82;1.48;13.24;14.72
50;19;31;2.72;1.54;15.48;17.02
50;21;29;2.44;1.64;14.66;16.3
50;20;30;2.1;1.54;14.02;15.56
50;19;31;2.74;1.72;13.16;14.88
50;20;30;2.58;1.54;11.22;12.76
50;21;29;2.46;1.6;15.58;17.18
50;18;32;3.32;1.72;14.36;16.08
50;20;30;2.64;1.54;14.44;15.98
50;18;32;2.64;1.52;12.86;14.38
50;21;29;2.64;1.6;14.08;15.68
50;20;30;2.84;1.7;11.16;12.86
50;18;32;2.84;1.54;11.0;12.54
50;18;32;2.66;1.4;12.08;13.48
50;19;31;2.38;1.74;14.58;16.32
50;21;29;2.96;1.74;10.92;12.66
50;17;33;2.72;1.48;11.9;13.38
50;22;28;2.56;1.76;18.04;19.8
50;22;28;3.46;1.86;18.6;20.46
50;19;31;2.72;1.64;15.98;17.62
50;21;29;2.5;1.54;12.7;14.24
50;17;33;2.36;1.36;8.74;10.1
50;18;32;2.26;1.56;11.86;13.42
50;19;31;2.22;1.36;12.88;14.24
50;20;30;2.96;1.48;11.76;13.24
50;18;32;3.46;1.44;10.08;11.52
50;25;25;2.78;1.74;20.64;22.38
50;21;29;3.36;1.66;17.56;19.22
50;18;32;2.8;1.6;14.96;16.56
50;23;27;3.36;1.62;18.92;20.54
50;22;28;2.84;1.7;16.16;17.86
50;23;27;3.14;1.8;15.96;17.76
50;20;30;4.08;1.62;17.08;18.7
50;23;27;3.12;1.64;20.42;22.06
50;22;28;2.58;1.76;17.64;19.4
50;19;31;2.58;1.66;13.44;15.1
50;19;31;2.46;1.46;12.44;13.9
50;21;29;2.9;1.68;14.46;16.14
50;20;30;2.38;1.44;11.38;12.82
50;19;31;3.36;1.56;14.06;15.62
50;17;33;2.88;1.48;10.5;11.98
