TOTAL CLIENTES;TOTAL ATENDIDOS;DESERTADOS;PROMEDIO INTERMEDIO;PROMEDIO DE SERVICIO;PROMEDIO DE RETRASO;PROMEDIO DE ESPERA
50;18;32;7.74;1.38;4.48;5.86
50;28;22;15.5;1.44;14.34;15.78
50;20;30;10.94;1.48;10.52;12.0
50;25;25;12.94;1.56;12.84;14.4
50;24;26;13.26;1.76;10.44;12.2
50;26;24;14.78;1.86;13.48;15.34
50;19;31;10.04;1.52;7.44;8.96
50;22;28;11.92;1.58;9.86;11.44
50;23;27;11.06;1.7;12.7;14.4
50;24;26;10.66;1.66;15.1;16.76
50;26;24;14.64;1.76;16.82;18.58
50;23;27;12.42;1.78;9.96;11.74
50;22;28;9.22;1.58;9.22;10.8
50;24;26;11.94;1.48;11.36;12.84
50;19;31;9.62;1.62;8.58;10.2
50;23;27;13.26;1.52;9.84;11.36
50;19;31;10.44;1.68;9.42;11.1
50;22;28;10.94;1.48;10.48;11.96
50;20;30;10.2;1.52;9.32;10.84
50;19;31;8.16;1.18;9.56;10.74
50;22;28;8.9;1.6;10.4;12.0
50;23;27;11.6;1.72;10.3;12.02
50;19;31;8.48;1.54;12.0;13.54
50;20;30;10.58;1.48;8.7;10.18
50;22;28;11.5;1.56;14.32;15.88
50;20;30;7.02;1.48;10.48;11.96
50;23;27;10.86;1.46;15.86;17.32
50;23;27;14.12;1.56;11.98;13.54
50;27;23;15.36;1.78;18.34;20.12
50;24;26;13.78;1.68;12.48;14.16
50;21;29;9.72;1.42;11.98;13.4
50;23;27;10.36;1.56;12.94;14.5
50;23;27;12.56;1.58;12.26;13.84
50;27;23;12.64;1.58;12.1;13.68
50;21;29;10.94;1.52;11.76;13.28
50;21;29;11.36;1.62;11.58;13.2
50;20;30;8.1;1.4;10.08;11.48
50;22;28;11.52;1.48;12.76;14.24
50;27;23;14.24;1.72;17.64;19.36
50;23;27;11.6;1.56;12.32;13.88
50;21;29;10.48;1.5;8.7;10.2
50;24;26;10.52;1.8;10.98;12.78
50;21;29;15.62;1.78;10.44;12.22
50;14;36;4.92;1.26;5.28;6.54
50;22;28;11.0;1.6;10.34;11.94
50;22;28;12.68;1.68;8.88;10.56
50;23;27;10.72;1.6;12.36;13.96
50;23;27;13.86;1.76;13.94;15.7
50;19;31;7.78;1.58;6.34;7.92
50;24;26;13.48;1.62;15.18;16.8
50;23;27;15.3;1.86;10.78;12.64
50;18;32;12.04;1.56;7.74;9.3
50;24;26;11.42;1.86;10.38;12.24
50;20;30;7.16;1.62;7.5;9.12
50;31;19;16.66;1.6;13.12;14.72
50;19;31;8.74;1.54;7.26;8.8
50;22;28;10.98;1.46;8.92;10.38
50;20;30;8.04;1.62;7.36;8.98
50;23;27;11.7;1.82;12.42;14.24
50;23;27;11.38;1.5;11.2;12.7
50;21;29;9.52;1.26;9.26;10.52
50;23;27;13.0;1.42;12.04;13.46
50;21;29;8.02;1.78;12.48;14.26
50;24;26;13.54;1.68;11.12;12.8
50;19;31;7.92;1.52;9.58;11.1
50;22;28;9.56;1.74;10.64;12.38
50;20;30;10.54;1.38;9.14;10.52
50;22;28;12.16;1.66;14.44;16.1
50;23;27;11.98;1.76;8.92;10.68
50;14;36;5.92;1.24;4.0;5.24
50;24;26;12.34;1.78;13.08;14.86
50;18;32;8.06;1.56;9.38;10.94
50;26;24;13.5;1.6;12.64;14.24
50;23;27;12.2;1.66;10.48;12.14
50;19;31;10.04;1.56;7.66;9.22
50;21;29;11.84;1.84;8.82;10.66
50;26;24;12.02;1.74;12.68;14.42
50;25;25;14.94;1.86;13.94;15.8
50;21;29;9.74;1.58;11.6;13.18
50;26;24;16.38;1.38;14.12;15.5
50;26;24;14.28;1.76;11.9;13.66
50;24;26;11.0;1.68;10.5;12.18
50;19;31;6.82;1.4;9.18;10.58
50;25;25;13.6;1.58;11.8;13.38
50;20;30;9.32;1.64;7.5;9.14
50;22;28;8.04;1.36;8.26;9.62
50;18;32;6.76;1.42;5.62;7.04
50;22;28;11.74;1.58;14.28;15.86
50;22;28;11.18;1.32;6.58;7.9
50;24;26;13.58;1.6;15.32;16.92
50;22;28;7.5;1.46;10.02;11.48
50;24;26;9.04;1.68;11.96;13.64
50;25;25;15.6;1.46;11.3;12.76
50;25;25;10.56;1.56;11.28;12.84
50;21;29;11.56;1.68;14.7;16.38
50;26;24;11.46;1.76;11.64;13.4
50;19;31;11.58;1.62;12.4;14.02
50;22;28;11.06;1.54;13.8;15.34
50;26;24;12.52;1.68;13.9;15.58
50;25;25;12.74;1.74;14.4;16.14
