TOTAL CLIENTES;TOTAL ATENDIDOS;DESERTADOS;DESPUES DE CERRAR;PROMEDIO INTERMEDIO;PROMEDIO DE SERVICIO;PROMEDIO DE RETRASO;PROMEDIO DE ESPERA
55;50;5;10;0.290909091;12.58181818;245.8363636;258.4181818
42;42;0;5;0.380952381;13.07142857;235.3095238;248.3809524
45;45;0;10;0.355555556;13.51111111;316.2666667;329.7777778
46;46;0;2;0.347826087;13.39130435;212.9565217;226.3478261
39;39;0;8;0.41025641;14.71794872;271.3589744;286.0769231
37;34;3;7;0.432432432;16.05405405;286.1621622;302.2162162
51;51;0;8;0.31372549;13.37254902;242.7058824;256.0784314
50;50;0;8;0.32;12.9;267.92;280.82
53;52;1;8;0.301886792;11.81132075;251.754717;263.5660377
44;44;0;6;0.363636364;16.20454545;243.2045455;259.4090909
41;41;0;10;0.390243902;18.65853659;276.0731707;294.7317073
40;40;0;9;0.4;16.625;280.85;297.475
37;37;0;9;0.432432432;17.48648649;275.2162162;292.7027027
57;46;11;10;0.280701754;13.80701754;244.9473684;258.754386
46;38;8;10;0.347826087;14.02173913;263.173913;277.1956522
41;41;0;3;0.390243902;11.48780488;236.902439;248.3902439
37;37;0;0;0.432432432;12.62162162;215.3513514;227.972973
43;43;0;7;0.372093023;13.74418605;259.0465116;272.7906977
41;41;0;7;0.341463415;12.14634146;285.2682927;297.4146341
51;47;4;6;0.31372549;14.45098039;251.1960784;265.6470588
49;49;0;8;0.326530612;13.16326531;246.7346939;259.8979592
45;45;0;7;0.355555556;12.02222222;249.3333333;261.3555556
29;29;0;2;0.551724138;16.03448276;274.8965517;290.9310345
37;37;0;3;0.432432432;16.18918919;216.5675676;232.7567568
55;52;3;11;0.290909091;11.85454545;274.9090909;286.7636364
50;50;0;9;0.32;13.08;264.78;277.86
40;40;0;5;0.4;12.475;240.2;252.675
40;37;3;8;0.4;19.525;287.8;307.325
43;43;0;2;0.372093023;13.58139535;238.6976744;252.2790698
44;44;0;9;0.363636364;14.18181818;254.2272727;268.4090909
38;38;0;4;0.421052632;14.34210526;286.0789474;300.4210526
53;53;0;8;0.301886792;12.90566038;237.5283019;250.4339623
43;36;7;9;0.348837209;13.3255814;249.3953488;262.7209302
41;41;0;7;0.390243902;14.82926829;262.097561;276.9268293
37;37;0;2;0.432432432;15.81081081;244;259.8108108
47;42;5;10;0.340425532;13.76595745;258.5531915;272.3191489
48;48;0;10;0.333333333;13.79166667;253.9791667;267.7708333
50;44;6;8;0.32;11.9;266.18;278.08
44;44;0;6;0.363636364;12.25;247.0454545;259.2954545
52;52;0;4;0.307692308;10.67307692;226.9807692;237.6538462
38;38;0;8;0.421052632;14.60526316;286.0526316;300.6578947
64;47;17;9;0.25;11.75;181.625;193.375
42;42;0;8;0.380952381;13.19047619;249.1428571;262.3333333
39;39;0;7;0.41025641;16.05128205;270.974359;287.025641
45;45;0;8;0.355555556;13.64444444;231.3333333;244.9777778
49;45;4;10;0.326530612;14.20408163;268.2653061;282.4693878
47;41;6;11;0.340425532;15.63829787;260.8085106;276.4468085
39;39;0;5;0.41025641;13.12820513;232.7948718;245.9230769
40;40;0;8;0.4;15.15;279.775;294.925
34;34;0;3;0.470588235;16.11764706;232.3823529;248.5
50;50;0;13;0.32;15.9;303.24;319.14
34;33;1;8;0.470588235;20.44117647;273.7647059;294.2058824
57;56;1;13;0.280701754;14.45614035;255.9824561;270.4385965
50;38;12;8;0.32;13.98;238.62;252.6
48;43;5;8;0.333333333;16.0625;258.8541667;274.9166667
48;48;0;9;0.333333333;15.52083333;258.0416667;273.5625
46;45;1;6;0.347826087;13.97826087;269.173913;283.1521739
45;42;3;10;0.355555556;17.8;267.2666667;285.0666667
44;44;0;6;0.363636364;13.63636364;237.2045455;250.8409091
43;43;0;8;0.372093023;14.76744186;264.7209302;279.4883721
46;46;0;10;0.347826087;17.39130435;264.9782609;282.3695652
47;47;0;5;0.340425532;13.17021277;217.4893617;230.6595745
35;35;0;3;0.457142857;13.22857143;213.3428571;226.5714286
33;33;0;0;0.484848485;13.72727273;203.6969697;217.4242424
41;41;0;0;0.390243902;14.14634146;197.902439;212.0487805
40;40;0;6;0.4;16;218.7;234.7
47;44;3;11;0.340425532;15.10638298;262.9787234;278.0851064
49;34;15;12;0.326530612;14.97959184;218.3673469;233.3469388
42;42;0;3;0.380952381;17.16666667;219.7857143;236.952381
39;39;0;5;0.41025641;17.69230769;247.2051282;264.8974359
47;47;0;7;0.340425532;14.59574468;259.3191489;273.9148936
55;51;4;9;0.290909091;16.01818182;241.8727273;257.8909091
51;50;1;14;0.31372549;15.88235294;294.5098039;310.3921569
62;50;12;10;0.258064516;11.43548387;223.9516129;235.3870968
56;52;4;10;0.285714286;14.17857143;244.4642857;258.6428571
43;33;10;11;0.372093023;17.27906977;273.6046512;290.8837209
62;53;9;11;0.258064516;11.11290323;239.8064516;250.9193548
53;47;6;13;0.301886792;14.01886792;233.1509434;247.1698113
36;36;0;2;0.444444444;13.22222222;209.4166667;222.6388889
31;31;0;0;0.451612903;12.90322581;291.4193548;304.3225806
54;47;7;7;0.296296296;14.64814815;246.3888889;261.037037
46;42;4;6;0.347826087;15.08695652;230.4565217;245.5434783
39;39;0;7;0.41025641;14.82051282;262.4358974;277.2564103
46;43;3;8;0.347826087;14.76086957;283.0652174;297.826087
50;50;0;10;0.32;18.78;240.36;259.14
41;41;0;7;0.390243902;13.2195122;261.097561;274.3170732
52;52;0;12;0.307692308;15.23076923;230.4423077;245.6730769
37;37;0;0;0.432432432;15.75675676;175.1351351;190.8918919
45;44;1;11;0.355555556;15.06666667;294.1333333;309.2
55;48;7;11;0.290909091;12.45454545;246.2727273;258.7272727
57;50;7;12;0.280701754;12.28070175;253.0701754;265.3508772
48;44;4;3;0.333333333;13.375;222.2916667;235.6666667
50;50;0;4;0.32;14.5;197.7;212.2
57;37;20;7;0.280701754;11.21052632;202.7017544;213.9122807
43;41;2;13;0.372093023;16.46511628;287.6976744;304.1627907
52;48;4;13;0.307692308;16.65384615;252.6923077;269.3461538
60;45;15;11;0.266666667;13.01666667;217.55;230.5666667
46;46;0;9;0.347826087;14.32608696;251.0434783;265.3695652
37;33;4;12;0.378378378;18.54054054;335.9459459;354.4864865
51;39;12;9;0.31372549;12.1372549;225.1960784;237.3333333
31;31;0;3;0.516129032;22.51612903;184.8387097;207.3548387
37;37;0;0;0.432432432;11.43243243;156.7027027;168.1351351
50;49;1;10;0.32;13.34;282.92;296.26
45;45;0;9;0.355555556;19.64444444;254.7555556;274.4
32;32;0;0;0.5;16.0625;192.5625;208.625
44;44;0;8;0.363636364;15.56818182;257.8636364;273.4318182
41;41;0;1;0.390243902;13.75609756;193.7317073;207.4878049
46;45;1;11;0.347826087;14.08695652;318.7608696;332.8478261
45;43;2;8;0.355555556;13.66666667;268.4;282.0666667
46;46;0;4;0.347826087;16.45652174;242.0434783;258.5
38;38;0;9;0.421052632;19.34210526;278.7368421;298.0789474
41;41;0;8;0.390243902;13.58536585;264.9268293;278.5121951
49;44;5;2;0.326530612;11.81632653;226.4081633;238.2244898
45;43;2;11;0.355555556;14.57777778;292.2222222;306.8
42;42;0;9;0.380952381;15.19047619;281.7619048;296.952381
45;45;0;2;0.355555556;14.95555556;199.8666667;214.8222222
32;32;0;1;0.5;14.71875;238.1875;252.90625
48;47;1;10;0.333333333;12.97916667;262.3125;275.2916667
36;36;0;6;0.444444444;19.61111111;248.0277778;267.6388889
40;39;1;12;0.4;17.575;297.425;315
48;46;2;8;0.333333333;13.39583333;271.1875;284.5833333
45;42;3;10;0.355555556;15.26666667;292.7333333;308
48;37;11;13;0.333333333;15.04166667;250.5208333;265.5625
42;42;0;0;0.380952381;11.73809524;223.1190476;234.8571429
49;41;8;11;0.326530612;15.08163265;248.7346939;263.8163265
48;44;4;10;0.333333333;14.22916667;277.3333333;291.5625
34;34;0;7;0.470588235;18.64705882;270.0294118;288.6764706
47;44;3;11;0.340425532;14.38297872;303.0212766;317.4042553
57;43;14;13;0.280701754;12.07017544;219.8245614;231.8947368
38;38;0;8;0.421052632;15.23684211;268.1578947;283.3947368
58;45;13;10;0.275862069;13.55172414;219.3275862;232.8793103
43;41;2;13;0.372093023;15.81395349;270.7674419;286.5813953
53;49;4;10;0.301886792;13.01886792;262.509434;275.5283019
33;33;0;0;0.484848485;15.96969697;216.2424242;232.2121212
44;44;0;8;0.363636364;14.29545455;239.2727273;253.5681818
41;41;0;5;0.390243902;16.7804878;189.7560976;206.5365854
36;36;0;6;0.444444444;17.63888889;269.4166667;287.0555556
40;40;0;4;0.4;16.8;238.675;255.475
53;51;2;11;0.301886792;14.8490566;254.7924528;269.6415094
43;43;0;1;0.372093023;12.04651163;182.8372093;194.8837209
49;49;0;3;0.326530612;12.40816327;216.3061224;228.7142857
43;43;0;5;0.372093023;14.95348837;229.9767442;244.9302326
43;43;0;7;0.372093023;18.13953488;235.8139535;253.9534884
41;37;4;0;0.390243902;14.3902439;198.4878049;212.8780488
